Marca temporal	Pais	Comercial encargado	Cliente	Nombre-Correo Gestor Cliente	N° Vacantes	Perfil del Puesto	Tiempo del Servicio	Modalidad de Trabajo	Formación Académica Mínima Requerida	Conocimientos Técnicos Específicos	Años y Tipo de Experiencia	Asignación Equipo	Especificaciones Máquina Portátil	Tarifa	Salario	Observaciones	USUARIO	Estado	Observación Proceso	Número de Candidatos Enviados	Fecha de Envío al Solicitante	Candidato 1	Candidato 2	Candidato 3	Candidato 4	Candidato 5	Candidato 6
2025-01-27 19:20:41	España	Claudía Navas	Cliente T	mercedes54@example.org	1	Peón de jardinería y horticultura	Indefinido	Presencial	Ingeniería de Sistemas	"Velit vel distinctio non iste quos. Ipsum similique accusamus nostrum expedita. Harum minus sint assumenda voluptatibus odit.
Deleniti est sit sit esse voluptates. Architecto at vitae quo."	5 Años	Cliente	Por determinar	3864997	$ 4029711 + $258584	Iusto quaerat esse nisi facere maiores est. Sequi quae a soluta ab omnis cupiditate reiciendis.	Cristian Carrillo	ATENDIDA	Temporibus deleniti in recusandae.	9	2024-05-16 22:10:47	Noelia Hernández Rosado	Patricia Ponce Vives	Mayte Moll Valdés	Gabriel Cobos-Sanchez	Nazario Jose Antonio Rocha Patiño	Rodolfo Llorente Aguilar
2025-02-15 00:20:23	España	Niolimar Sequera	Cliente D	silvamarciano@example.net	4	Técnico en operaciones de tecnología de la información y las comunicaciones	Indefinido	Hibrido	Pregrado Ingeniería de Sistemas	"Vitae adipisci veniam quas aliquam incidunt.
Iusto nemo error delectus eaque dolore accusamus. Ea vel dolore nesciunt dignissimos beatae."	> a 3 años	Cliente	Por definir	6753801	$ 1519170 + $478749	Dignissimos id aperiam itaque. Neque impedit nobis placeat tenetur.	Carolina Sabogal	ATENDIDA	Distinctio eius aliquam sint libero.	9	2024-05-31 17:11:19	José Crespo Oliva	Salvador Pavón Donoso	Tere Benavente Casals	Epifanio Cañete Roig	Nazaret Larrea Nuñez	Íñigo Chico Arnau
2024-05-17 19:11:20	Colombia	Alexander Gabel	Cliente G	bgaray@example.net	3	Audiólogo	Indefinido	Presencial	Tecnología	"Rem ad rerum iste tempore. Quibusdam earum suscipit eius consequatur magnam maiores. Veritatis cupiditate voluptas dolore fugit.
Quo eum eum quis rerum porro expedita impedit."	> a 3 años	Cliente	N/A	4355637	$ 2058327 + $407098	Velit itaque cupiditate aliquam quis dicta dignissimos.	Carolina Sabogal	ATENDIDA	Ut aperiam omnis magni voluptates deleniti natus.	5	2024-09-04 02:49:42	Daniela Robles Luís	Milagros Riba Lumbreras	Octavio Arribas Álvarez	Heraclio Porras Matas	Guiomar Asenjo Bastida	Tomás Amaro Blázquez Lamas
2024-10-26 01:00:04	España	Andres Leon	Cliente R	graseusebio@example.org	2	Conductor de tranvía	> 1 Año	100 % Remoto	Pregrado Ingeniería de Sistemas	"Deserunt illum odio ipsum voluptatem magnam.
Fugiat asperiores voluptatum dolorum commodi. Suscipit ab vero harum."	> a 3 años	Samtel	Por definir	6742393	$ 3479127 + $156947	Quas at eveniet tempore quis quos amet.	Angelica Garzón	ATENDIDA	Saepe cumque vero fugiat.	1	2024-08-14 12:53:10	Pastor Cañas Tejada	Virginia de Iniesta	Eutimio Vendrell Cerro	Toni Colom Daza	Albano Contreras Borrego	Severiano Flores Barriga
2024-12-28 16:01:06	Colombia	Víctor Díaz	Cliente M	oriana45@example.net	1	Modelador de vidrio	6 meses	Hibrido	Ingeniería de Sistemas	Corrupti laudantium illo eius. Et voluptas perspiciatis similique accusamus blanditiis vero.	6 meses - 1 año	Cliente	Por definir	9113587	$ 3236853 + $175129	Blanditiis ratione nemo voluptatem accusamus. Ullam nesciunt quis in quo ipsum porro optio.	Carolina Sabogal	CONTRATADO	Magni quam adipisci repellat amet.	9	2024-05-27 00:13:34	Teo Acevedo Yuste	Milagros Múñiz-Gracia	Dimas Sierra Rico	Albino Rivero Gabaldón	Roldán Busquets Rico	Domingo Peralta Roig
2025-03-06 00:35:43	Colombia	Claudía Navas	Cliente B	xechevarria@example.org	1	Miembro de las fuerzas armadas	6 meses	Presencial	Pregrado Ingeniería de Sistemas	Alias tempore a consequuntur ipsam corrupti fugiat. Ipsam dolore harum explicabo.	> a 3 años	Cliente	N/A	9252918	$ 3059356 + $293943	Alias consequatur vero molestiae iusto accusamus similique. Eius facilis dolores vitae nihil.	Víctor Díaz	CERRADA	Amet suscipit voluptatum ad quod dolore.	2	2025-01-16 20:03:50	Isabela Hervás Coloma	Marita Santos Álvarez	Rolando Aznar-Navarrete	Curro Uría Zamora	Roldán Azcona Llanos	Berta Almazán Corominas
2024-06-12 00:04:34	Colombia	Angelica Garzón	Mi Banco	rafaalonso@example.com	3	Empalmador de cables	> 1 Año	Hibrido	Ingeniería de Sistemas	"Magnam provident modi fugit eaque. Iste fuga rem nisi sapiente quibusdam.
Quidem optio recusandae eum et quibusdam. Amet sequi exercitationem placeat reiciendis accusamus est reprehenderit."	6 meses - 1 año	Cliente	Por determinar	3874051	$ 3275347 + $455333	Eveniet nulla animi sunt. Soluta modi saepe at ipsa placeat aliquid.	Víctor Díaz	ATENDIDA	Minima odio quis similique autem ratione facere.	6	2024-12-29 01:17:21	Geraldo Madrigal Diaz	Heliodoro Diaz Blanes	Heraclio Alonso Guillen	Edmundo Hierro Losada	Renato Almeida Pizarro	Ernesto Suarez Valentín
2024-08-06 10:47:07	Colombia	Claudía Navas	Cliente B	pcarrera@example.com	1	Mecánico y reparador en electrónica	6 meses	Hibrido	Pregrado Ingeniería de Sistemas	"Cum voluptatem dolor. Pariatur nemo assumenda a maxime.
Ut quod deserunt harum consequuntur fugit et. Eveniet porro odio veritatis. Aspernatur quaerat pariatur."	6 meses - 1 año	Cliente	Por determinar	3117978	$ 2971077 + $375144	Quia accusamus dolores molestiae omnis. Debitis consequatur nobis nesciunt eveniet.	Cristian Carrillo	CERRADA	Inventore deleniti tenetur laudantium similique.	4	2024-12-07 05:40:55	Leonardo Jáuregui Oliveras	Teresita Dulce Gomez Rubio	Xiomara Costa Fabregat	Octavio Quintero Julián	María Plácido Vilaplana Porta	Herminia Ramírez Enríquez
2024-12-22 12:05:47	España	Andres Leon	Cliente Q	qvalderrama@example.org	2	Profesional de nivel medio en actividades culturales y artísticas	6 meses	Presencial	Tecnología	Veniam repellat ipsam delectus. Adipisci quam iusto consequatur delectus labore sed. Sit natus excepturi voluptas quisquam numquam possimus.	5 Años	Samtel	Por definir	8166311	$ 2247915 + $185729	Vero magni esse voluptatem. At id consequatur pariatur. Quibusdam natus nihil enim ut ducimus modi.	Alexander Gabel	CERRADA	Dolor quis quasi delectus mollitia reiciendis.	6	2025-01-17 21:52:13	Berto Río Jover	Constanza Marín	Rolando Busquets Real	Catalina del Garay	Pío del Riba	Carlota Escolano Tovar
2025-01-15 17:09:16	España	Angelica Garzón	Cliente T	rferreras@example.net	3	Operador de máquinas para fabricar cemento y otros productos minerales	Más de 1 año	100 % Remoto	Tecnología	Consectetur placeat incidunt iure. Voluptatem aliquam id sint nemo eum.	5 Años	Samtel	N/A	8406210	$ 2749546 + $104339	Ducimus quaerat dolorem iure. Tempore nulla atque sint minus fugiat enim.	Carolina Sabogal	CERRADA	Consectetur quae nam quae recusandae minus.	3	2024-07-31 23:52:34	Luis Rivas Pombo	Eusebia Vilaplana Villanueva	Samuel Granados Ferrándiz	Heliodoro Lopez	Luis Miguel Llano Gallart	Rebeca Fajardo Prado
